yellow line angle: 99999.992188, obstacle angle: -0.008727, obstacle dist: 0.000000, obstacle steering: inf, steer: 0.000000, speed: 10.000000
 yellow line angle: -0.149464, obstacle angle: 0.209439, obstacle dist: 19.909075, obstacle steering: -0.069937, steer: -0.071416, speed: 10.000000
 yellow line angle: -0.151675, obstacle angle: 0.226893, obstacle dist: 19.518463, obstacle steering: -0.070057, steer: -0.070259, speed: 10.000000
 yellow line angle: -0.157895, obstacle angle: 0.244346, obstacle dist: 19.127083, obstacle steering: -0.078794, steer: -0.078794, speed: 10.000000
 yellow line angle: -0.161410, obstacle angle: 0.296706, obstacle dist: 18.139702, obstacle steering: -0.081511, steer: -0.084943, speed: 10.000000
 yellow line angle: -0.163310, obstacle angle: 0.314159, obstacle dist: 17.871136, obstacle steering: -0.082761, steer: -0.085072, speed: 10.000000
 yellow line angle: -0.163164, obstacle angle: 0.331612, obstacle dist: 17.646486, obstacle steering: -0.081969, steer: -0.084855, speed: 10.000000
 yellow line angle: 0.003116, obstacle angle: 0.104720, obstacle dist: 19.994743, obstacle steering: -0.003129, steer: 0.004137, speed: 10.000000
 yellow line angle: 0.003097, obstacle angle: 0.104720, obstacle dist: 19.856173, obstacle steering: -0.003180, steer: 0.004137, speed: 10.000000
 yellow line angle: 0.003108, obstacle angle: 0.095993, obstacle dist: 19.797371, obstacle steering: -0.003642, steer: 0.004137, speed: 10.000000
 yellow line angle: 0.003289, obstacle angle: 0.095993, obstacle dist: 19.664936, obstacle steering: -0.003694, steer: 0.004137, speed: 10.000000
 yellow line angle: 0.003289, obstacle angle: 0.095993, obstacle dist: 19.533020, obstacle steering: -0.003747, steer: 0.004137, speed: 10.000000
 yellow line angle: 0.003038, obstacle angle: 0.095993, obstacle dist: 19.401024, obstacle steering: -0.003801, steer: 0.004137, speed: 10.000000
 yellow line angle: 0.002786, obstacle angle: 0.095993, obstacle dist: 19.268555, obstacle steering: -0.003856, steer: 0.004137, speed: 10.000000
 yellow line angle: 0.002413, obstacle angle: 0.095993, obstacle dist: 19.136568, obstacle steering: -0.003911, steer: 0.004137, speed: 10.000000
 yellow line angle: 0.002624, obstacle angle: 0.095993, obstacle dist: 19.009726, obstacle steering: -0.003964, steer: 0.004137, speed: 10.000000
 yellow line angle: 0.002764, obstacle angle: 0.095993, obstacle dist: 18.883141, obstacle steering: -0.004019, steer: 0.004137, speed: 10.000000
 yellow line angle: 0.002884, obstacle angle: 0.095993, obstacle dist: 18.756411, obstacle steering: -0.004074, steer: 0.004137, speed: 10.000000
 yellow line angle: 0.003130, obstacle angle: 0.095993, obstacle dist: 18.638813, obstacle steering: -0.004126, steer: 0.004137, speed: 10.000000
 yellow line angle: 0.003328, obstacle angle: 0.104720, obstacle dist: 18.341503, obstacle steering: -0.003784, steer: 0.004137, speed: 10.000000
 yellow line angle: 0.003751, obstacle angle: 0.104720, obstacle dist: 18.204649, obstacle steering: -0.003843, steer: 0.004137, speed: 10.000000
 yellow line angle: 0.003597, obstacle angle: 0.104720, obstacle dist: 18.068514, obstacle steering: -0.003903, steer: 0.004137, speed: 10.000000
 yellow line angle: 0.003427, obstacle angle: 0.104720, obstacle dist: 17.933624, obstacle steering: -0.003964, steer: 0.004137, speed: 10.000000
 yellow line angle: 0.002795, obstacle angle: 0.104720, obstacle dist: 17.798824, obstacle steering: -0.004025, steer: 0.004137, speed: 10.000000
 yellow line angle: 0.001989, obstacle angle: 0.104720, obstacle dist: 17.664089, obstacle steering: -0.004087, steer: 0.004137, speed: 10.000000
 yellow line angle: 0.001046, obstacle angle: 0.104720, obstacle dist: 17.529318, obstacle steering: -0.004151, steer: 0.004137, speed: 10.000000
 yellow line angle: 0.001064, obstacle angle: 0.104720, obstacle dist: 17.394342, obstacle steering: -0.004215, steer: 0.004137, speed: 10.000000
 yellow line angle: 0.000933, obstacle angle: 0.104720, obstacle dist: 17.259520, obstacle steering: -0.004280, steer: 0.004137, speed: 10.000000
 yellow line angle: 0.000929, obstacle angle: 0.104720, obstacle dist: 17.126575, obstacle steering: -0.004346, steer: 0.004137, speed: 10.000000
