yellow line angle: 99999.992188, obstacle angle: -0.008727, obstacle dist: 0.000000, obstacle steering: inf, steer: 0.000000
yellow line angle: -0.142677, obstacle angle: 0.322886, obstacle dist: 19.739914, obstacle steering: -0.049981, steer: -0.055902
yellow line angle: -0.148770, obstacle angle: 0.314159, obstacle dist: 19.623753, obstacle steering: -0.052632, steer: -0.057994
yellow line angle: -0.158326, obstacle angle: 0.314159, obstacle dist: 19.460728, obstacle steering: -0.054697, steer: -0.068260
yellow line angle: -0.168079, obstacle angle: 0.305432, obstacle dist: 19.498817, obstacle steering: -0.065417, steer: -0.072098
yellow line angle: -0.176903, obstacle angle: 0.305432, obstacle dist: 19.452763, obstacle steering: -0.069249, steer: -0.073509
yellow line angle: -0.183078, obstacle angle: 0.305432, obstacle dist: 19.408072, obstacle steering: -0.070653, steer: -0.070854
yellow line angle: -0.188799, obstacle angle: 0.331612, obstacle dist: 18.916016, obstacle steering: -0.066539, steer: -0.072506
yellow line angle: -0.208293, obstacle angle: 0.322886, obstacle dist: 18.758604, obstacle steering: -0.076116, steer: -0.083097
yellow line angle: -0.213501, obstacle angle: 0.296706, obstacle dist: 19.185417, obstacle steering: -0.080662, steer: -0.082567
yellow line angle: -0.217765, obstacle angle: 0.296706, obstacle dist: 19.143414, obstacle steering: -0.080128, steer: -0.083049
yellow line angle: -0.220634, obstacle angle: 0.296706, obstacle dist: 19.085966, obstacle steering: -0.080602, steer: -0.082302
yellow line angle: -0.224627, obstacle angle: 0.287979, obstacle dist: 19.190794, obstacle steering: -0.080323, steer: -0.086896
yellow line angle: -0.227396, obstacle angle: 0.287979, obstacle dist: 19.177883, obstacle steering: -0.084916, steer: -0.086505
yellow line angle: -0.230030, obstacle angle: 0.296706, obstacle dist: 19.031254, obstacle steering: -0.084050, steer: -0.088275
yellow line angle: -0.231493, obstacle angle: 0.296706, obstacle dist: 19.072702, obstacle steering: -0.085826, steer: -0.087686
yellow line angle: -0.232455, obstacle angle: 0.296706, obstacle dist: 19.096199, obstacle steering: -0.085240, steer: -0.088318
yellow line angle: -0.233135, obstacle angle: 0.296706, obstacle dist: 19.090008, obstacle steering: -0.085871, steer: -0.089324
yellow line angle: -0.233297, obstacle angle: 0.296706, obstacle dist: 19.093369, obstacle steering: -0.086878, steer: -0.089729
yellow line angle: -0.234066, obstacle angle: 0.296706, obstacle dist: 19.124063, obstacle steering: -0.087287, steer: -0.092538
